R,No. Pedido,INFO,OT,MP,ML UV,ML TOTAL,ANCHO,M2,Cve,Cliente,Sku item,Descripcion,ABCD,F.Pedido,F.Lib,F. Soli. Clie,F. Venci. Ped,"F. Emb.
Plan",F. MODIFICADA,F. PT ENTREGA,Dias Lib,Dias Venci.,C.Orded.,C.Surtida,C.XSurtir,Existencia,U/M,Total,Vend,VENDEDORES,Nota
,I0ETI29938-1,PLANEACION,,M0549142-245/M0151226-250,114.3,2468.88,0.245,604.8756,NE3330P,QUALTIA ALIMENTOS OPERACIONES,03330I0027D,ETIQ. B6846 JAMON VIRGINIA ZWAN BIO,B, 13/02/24, 13/02/24, 25/02/24, 24/02/24, 26/02/24,,,1,-12,20.00,0.00,20.00,1.00,MI,"40,330.00",79,Jaime Blasques,
,I0ETI29792-1,PLANEACION,,M0549247-240,35.27,3047.328,0.24,731.35872,SU8327D,EMPACADORA CIANCA,08327I0002A,ETIQ CHISTORRA CERDO GUS Venta a granel,C, 07/02/24, 07/02/24, 25/02/24, 24/02/24, 26/02/24,,,7,-12,80.00,0.00,80.00,0.00,MI,"25,703.33",201,Sonia Segura,
,I0ETI29792-2,PLANEACION,,M0549247-240,35.27,3047.328,0.24,731.35872,SU8327D,EMPACADORA CIANCA,08327I0001A,ETIQ CHORIZO ARGENTINOGUS Venta a granel,C, 07/02/24, 07/02/24, 25/02/24, 24/02/24, 26/02/24,,,7,-12,80.00,0.00,80.00,0.00,MI,"25,703.33",201,Sonia Segura,
,I0ETI29758-1,LIB FLXR,OE00049511,M0549247-220,81.4,2109.888,0.22,464.17536,NE5388D,ID GLOBAL SOLUTIONS,05388B0011B,ETIQ. PC000037 BOPP 4 X 1 R-5700 C-3,C, 06/02/24, 06/02/24, 24/02/24, 24/02/24, 26/02/24,26/2/2024,,8,-11,24.00,0.00,24.00,0.00,RL,"11,912.14",39,Alejandro de Mata,
,I0ETI29801-1,PLANEACION,OE00049504,M0549163-325,16.78,90612,0.325,29448.9,CT7319P,ROYAL OFFICE DE MEXICO,07319I0001A,ETIQ. TD QUANTUM 57X45 R1600 C-69 B/16,C, 07/02/24, 13/02/24, 25/02/24, 24/02/24, 26/02/24,,,1,-12,"5,000.00",0.00,"5,000.00",0.00,RL,"319,400.00",7,Ana Rebeca Reyes,
,I0ETI29804-1,PLANEACION,OE00049503,M3356359-325,14.86,80244,0.325,26079.3,CT7319P,ROYAL OFFICE DE MEXICO,07319I0002A,ETIQUETA OFERTA SUPER LEY CHICA,C, 07/02/24, 13/02/24, 25/02/24, 24/02/24, 26/02/24,,,1,-12,"5,000.00",0.00,"5,000.00",0.00,RL,"267,500.00",7,Ana Rebeca Reyes,
,I0ETI29807-1,PT,,M0549224-145,29.8,32.184,0.145,4.66668,NE0742P,TIENDAS SORIANA,00742B0039A,ETIQUETA ELECTRONICA 66X10MM R1000,C, 07/02/24, 07/02/24, 25/02/24, 24/02/24, 26/02/24,,,7,-12,1.00,0.00,1.00,0.00,CJ,561.39,79,Jaime Blasques,"SALINAS, EMBARCAR 17 FEBRERO, CITA 20 FEBRERO"
,I0ETI29765-1,PLANEACION,OE00049385,M0151306-170,142.4,6151.68,0.17,1045.7856,N12393P,G.A. SUPPORT,12393I0001A,"ETIQ TT 6 X 8"" R-690 C-3"" 1T",C, 06/02/24, 09/02/24, 24/02/24, 24/02/24, 26/02/24,,,5,-11,40.00,0.00,40.00,0.00,RL,"15,155.91",205,Gabriela Chapa,NO ENVIAR CON LOGOTIPOS DE PCM
*,I0ETI29760-1,RETENIDO,,,,,,,NE0742P,TIENDAS SORIANA,00742I0533A,PLANTILLA 1 UP OFERTA HIPER,C, 06/02/24, 06/02/24, 06/03/24, 14/02/24,06/03/2024,,,8,-22,53.00,0.00,53.00,-504.00,CJ,"13,084.64",79,Jaime Blasques,"GUADALAJARA,  EMBARCAR  17 MFEBRERO, CITA 20 FEBRERO"
*,I0ETI29760-2,RETENIDO,,,,,,,NE0742P,TIENDAS SORIANA,00742I0527A,KIT R 12UP OFERTA RIEL HIPER,C, 06/02/24, 06/02/24, 06/03/24, 14/02/24,06/03/2024,,,8,-22,39.00,0.00,39.00,-322.00,CJ,"21,726.90",79,Jaime Blasques,"GUADALAJARA,  EMBARCAR  17 MFEBRERO, CITA 20 FEBRERO"
*,I0ETI29760-3,RETENIDO,,,,,,,NE0742P,TIENDAS SORIANA,00742I0531A,PLANTILLA 1 UP PRECIO NORMAL HIPER,C, 06/02/24, 06/02/24, 06/03/24, 14/02/24,06/03/2024,,,8,-22,29.00,0.00,29.00,-214.00,CJ,"7,159.52",79,Jaime Blasques,"GUADALAJARA,  EMBARCAR  17 MFEBRERO, CITA 20 FEBRERO"
*,I0ETI29760-4,RETENIDO,,,,,,,NE0742P,TIENDAS SORIANA,00742I0529A,KIT R 12UP RIEL PRECIO NORMAL HIPER,C, 06/02/24, 06/02/24, 06/03/24, 14/02/24,06/03/2024,,,8,-22,13.00,0.00,13.00,-63.00,CJ,"7,242.30",79,Jaime Blasques,"GUADALAJARA,  EMBARCAR  17 MFEBRERO, CITA 20 FEBRERO"
*,I0ETI29760-5,RETENIDO,,,,,,,NE0742P,TIENDAS SORIANA,00742I0532A,PLANTILLA 1 UP OFERTA SUPER,C, 06/02/24, 06/02/24, 06/03/24, 14/02/24,06/03/2024,,,8,-22,9.00,0.00,9.00,6.00,CJ,"2,221.92",79,Jaime Blasques,"GUADALAJARA,  EMBARCAR  17 MFEBRERO, CITA 20 FEBRERO"
*,I0ETI29761-1,RETENIDO,,,,,,,NE0742P,TIENDAS SORIANA,00742I0533A,PLANTILLA 1 UP OFERTA HIPER,C, 06/02/24, 06/02/24, 06/03/24, 06/03/24,06/03/2024,,,8,-22,53.00,0.00,53.00,-504.00,CJ,"13,084.64",79,Jaime Blasques,"GUADALAJARA,  EMBARCAR  17 MFEBRERO, CITA 20 FEBRERO"
*,I0ETI29761-10,RETENIDO,,,,,,,NE0742P,TIENDAS SORIANA,00742I0589A,KIT R 12UP RIEL MERCADO BCA LISA,C, 06/02/24, 06/02/24, 06/03/24, 06/03/24,06/03/2024,,,8,-22,4.00,0.00,4.00,10.00,CJ,"1,848.00",79,Jaime Blasques,"GUADALAJARA,  EMBARCAR  17 MFEBRERO, CITA 20 FEBRERO"
*,I0ETI29761-11,RETENIDO,,,,,,,NE0742P,TIENDAS SORIANA,00742I0588A,KIT R 12UP RIEL LISA AMARILLA,E, 06/02/24, 06/02/24, 06/03/24, 06/03/24,06/03/2024,,,8,-22,7.00,0.00,7.00,-57.00,CJ,"3,290.00",79,Jaime Blasques,"GUADALAJARA,  EMBARCAR  17 MFEBRERO, CITA 20 FEBRERO"
*,I0ETI29761-2,RETENIDO,,,,,,,NE0742P,TIENDAS SORIANA,00742I0527A,KIT R 12UP OFERTA RIEL HIPER,C, 06/02/24, 06/02/24, 06/03/24, 06/03/24,06/03/2024,,,8,-22,39.00,0.00,39.00,-322.00,CJ,"21,726.90",79,Jaime Blasques,"GUADALAJARA,  EMBARCAR  17 MFEBRERO, CITA 20 FEBRERO"
*,I0ETI29761-3,RETENIDO,,,,,,,NE0742P,TIENDAS SORIANA,00742I0531A,PLANTILLA 1 UP PRECIO NORMAL HIPER,C, 06/02/24, 06/02/24, 06/03/24, 06/03/24,06/03/2024,,,8,-22,29.00,0.00,29.00,-214.00,CJ,"7,159.52",79,Jaime Blasques,"GUADALAJARA,  EMBARCAR  17 MFEBRERO, CITA 20 FEBRERO"
*,I0ETI29761-4,RETENIDO,,,,,,,NE0742P,TIENDAS SORIANA,00742I0529A,KIT R 12UP RIEL PRECIO NORMAL HIPER,C, 06/02/24, 06/02/24, 06/03/24, 06/03/24,06/03/2024,,,8,-22,13.00,0.00,13.00,-63.00,CJ,"7,242.30",79,Jaime Blasques,"GUADALAJARA,  EMBARCAR  17 MFEBRERO, CITA 20 FEBRERO"
*,I0ETI29761-5,RETENIDO,,,,,,,NE0742P,TIENDAS SORIANA,00742I0532A,PLANTILLA 1 UP OFERTA SUPER,C, 06/02/24, 06/02/24, 06/03/24, 06/03/24,06/03/2024,,,8,-22,9.00,0.00,9.00,6.00,CJ,"2,221.92",79,Jaime Blasques,"GUADALAJARA,  EMBARCAR  17 MFEBRERO, CITA 20 FEBRERO"
*,I0ETI29761-6,RETENIDO,,,,,,,NE0742P,TIENDAS SORIANA,00742I0530A,PLANTILLA 1UP PRECIO NORMAL SUPER,C, 06/02/24, 06/02/24, 06/03/24, 06/03/24,06/03/2024,,,8,-22,6.00,0.00,6.00,-35.00,CJ,"1,481.28",79,Jaime Blasques,"GUADALAJARA,  EMBARCAR  17 MFEBRERO, CITA 20 FEBRERO"
*,I0ETI29761-7,RETENIDO,,,,,,,NE0742P,TIENDAS SORIANA,00742I0537A,KIT 24UP ADHESIVA PRECIO LINEA HIPER-S,C, 06/02/24, 06/02/24, 06/03/24, 06/03/24,06/03/2024,,,8,-22,29.00,0.00,29.00,-148.00,CJ,"40,697.73",79,Jaime Blasques,"GUADALAJARA,  EMBARCAR  17 MFEBRERO, CITA 20 FEBRERO"
*,I0ETI29761-8,RETENIDO,,,,,,,NE0742P,TIENDAS SORIANA,00742I0539A,PLANTILLA 1UP REMATES UNICOS,C, 06/02/24, 06/02/24, 06/03/24, 06/03/24,06/03/2024,,,8,-22,1.00,0.00,1.00,-5.00,CJ,246.88,79,Jaime Blasques,"GUADALAJARA,  EMBARCAR  17 MFEBRERO, CITA 20 FEBRERO"
*,I0ETI29761-9,RETENIDO,,,,,,,NE0742P,TIENDAS SORIANA,00742I0540A,PLANTILLA 1UP OUTLET,C, 06/02/24, 06/02/24, 06/03/24, 06/03/24,06/03/2024,,,8,-22,1.00,0.00,1.00,3.00,CJ,246.88,79,Jaime Blasques,"GUADALAJARA,  EMBARCAR  17 MFEBRERO, CITA 20 FEBRERO"
*,I0ETI29764-1,RETENIDO,,,,,,,NE0742P,TIENDAS SORIANA,00742B0042A,PLANTILLA UNIFICADA 30X40 C/40 BCA,C, 06/02/24, 06/02/24, 06/03/24, 06/03/24,06/03/2024,,,8,-22,1.00,0.00,1.00,27.00,MI,"1,234.13",79,Jaime Blasques,"QUERETARO, EMBARCAR 17 FEBRERO, CITA 20 FEBRERO"
*,I0ETI29764-10,RETENIDO,,,,,,,NE0742P,TIENDAS SORIANA,00742I0531A,PLANTILLA 1 UP PRECIO NORMAL HIPER,C, 06/02/24, 06/02/24, 06/03/24, 06/03/24,06/03/2024,,,8,-22,28.00,0.00,28.00,-214.00,CJ,"6,912.64",79,Jaime Blasques,"QUERETARO, EMBARCAR 17 FEBRERO, CITA 20 FEBRERO"
*,I0ETI29764-11,RETENIDO,,,,,,,NE0742P,TIENDAS SORIANA,00742I0529A,KIT R 12UP RIEL PRECIO NORMAL HIPER,C, 06/02/24, 06/02/24, 06/03/24, 06/03/24,06/03/2024,,,8,-22,7.00,0.00,7.00,-63.00,CJ,"3,899.70",79,Jaime Blasques,"QUERETARO, EMBARCAR 17 FEBRERO, CITA 20 FEBRERO"
*,I0ETI29764-12,RETENIDO,,,,,,,NE0742P,TIENDAS SORIANA,00742I0532A,PLANTILLA 1 UP OFERTA SUPER,C, 06/02/24, 06/02/24, 06/03/24, 06/03/24,06/03/2024,,,8,-22,33.00,0.00,33.00,6.00,CJ,"8,147.04",79,Jaime Blasques,"QUERETARO, EMBARCAR 17 FEBRERO, CITA 20 FEBRERO"
*,I0ETI29764-13,RETENIDO,,,,,,,NE0742P,TIENDAS SORIANA,00742I0526A,KIT R 12UP OFERTA RIEL SUPER,C, 06/02/24, 06/02/24, 06/03/24, 06/03/24,06/03/2024,,,8,-22,4.00,0.00,4.00,83.00,CJ,"2,228.40",79,Jaime Blasques,"QUERETARO, EMBARCAR 17 FEBRERO, CITA 20 FEBRERO"
*,I0ETI29764-14,RETENIDO,,,,,,,NE0742P,TIENDAS SORIANA,00742I0530A,PLANTILLA 1UP PRECIO NORMAL SUPER,C, 06/02/24, 06/02/24, 06/03/24, 06/03/24,06/03/2024,,,8,-22,17.00,0.00,17.00,-35.00,CJ,"4,196.96",79,Jaime Blasques,"QUERETARO, EMBARCAR 17 FEBRERO, CITA 20 FEBRERO"
*,I0ETI29764-15,RETENIDO,,,,,,,NE0742P,TIENDAS SORIANA,00742I0537A,KIT 24UP ADHESIVA PRECIO LINEA HIPER-S,C, 06/02/24, 06/02/24, 06/03/24, 06/03/24,06/03/2024,,,8,-22,23.00,0.00,23.00,-148.00,CJ,"32,277.51",79,Jaime Blasques,"QUERETARO, EMBARCAR 17 FEBRERO, CITA 20 FEBRERO"
*,I0ETI29764-16,RETENIDO,,,,,,,NE0742P,TIENDAS SORIANA,00742I0528A,KIT R 12UP RIEL PRECIO NORMAL SUPER,C, 06/02/24, 06/02/24, 06/03/24, 06/03/24,06/03/2024,,,8,-22,1.00,0.00,1.00,2.00,CJ,557.10,79,Jaime Blasques,"QUERETARO, EMBARCAR 17 FEBRERO, CITA 20 FEBRERO"
*,I0ETI29764-17,RETENIDO,,,,,,,NE0742P,TIENDAS SORIANA,00742I0539A,PLANTILLA 1UP REMATES UNICOS,C, 06/02/24, 06/02/24, 06/03/24, 06/03/24,06/03/2024,,,8,-22,1.00,0.00,1.00,-5.00,CJ,246.88,79,Jaime Blasques,"QUERETARO, EMBARCAR 17 FEBRERO, CITA 20 FEBRERO"
*,I0ETI29764-18,RETENIDO,,,,,,,NE0742P,TIENDAS SORIANA,00742I0538A,KIT R 12UP RIEL REMATES UNICOS,C, 06/02/24, 06/02/24, 06/03/24, 06/03/24,06/03/2024,,,8,-22,1.00,0.00,1.00,54.00,CJ,557.10,79,Jaime Blasques,"QUERETARO, EMBARCAR 17 FEBRERO, CITA 20 FEBRERO"
*,I0ETI29764-19,RETENIDO,,,,,,,NE0742P,TIENDAS SORIANA,00742I0589A,KIT R 12UP RIEL MERCADO BCA LISA,C, 06/02/24, 06/02/24, 06/03/24, 06/03/24,06/03/2024,,,8,-22,2.00,0.00,2.00,10.00,CJ,924.00,79,Jaime Blasques,"QUERETARO, EMBARCAR 17 FEBRERO, CITA 20 FEBRERO"
*,I0ETI29764-2,RETENIDO,,,,,,,NE0742P,TIENDAS SORIANA,00742I0359A,ETIQ. ELECTR. AMARILLA 66 X 10 MM R-1000,C, 06/02/24, 06/02/24, 06/03/24, 06/03/24,06/03/2024,,,8,-22,1.00,0.00,1.00,0.00,CJ,561.39,79,Jaime Blasques,"QUERETARO, EMBARCAR 17 FEBRERO, CITA 20 FEBRERO"
*,I0ETI29764-20,RETENIDO,,,,,,,NE0742P,TIENDAS SORIANA,00742I0588A,KIT R 12UP RIEL LISA AMARILLA,E, 06/02/24, 06/02/24, 06/03/24, 06/03/24,06/03/2024,,,8,-22,12.00,0.00,12.00,-57.00,CJ,"5,640.00",79,Jaime Blasques,"QUERETARO, EMBARCAR 17 FEBRERO, CITA 20 FEBRERO"
*,I0ETI29764-3,RETENIDO,,,,,,,NE0742P,TIENDAS SORIANA,00742I0461A,KIT ETIQ. R24UP ANAQUEL ADHESIVA MERCADO,C, 06/02/24, 06/02/24, 06/03/24, 06/03/24,06/03/2024,,,8,-22,3.00,0.00,3.00,4.00,CJ,"4,210.11",79,Jaime Blasques,"QUERETARO, EMBARCAR 17 FEBRERO, CITA 20 FEBRERO"
*,I0ETI29764-4,RETENIDO,,,,,,,NE0742P,TIENDAS SORIANA,00742I0504A,KIT R 6UP MERCADO NVO DISEÑO,C, 06/02/24, 06/02/24, 06/03/24, 06/03/24,06/03/2024,,,8,-22,1.00,0.00,1.00,-2.00,CJ,534.55,79,Jaime Blasques,"QUERETARO, EMBARCAR 17 FEBRERO, CITA 20 FEBRERO"
*,I0ETI29764-5,RETENIDO,,,,,,,NE0742P,TIENDAS SORIANA,00742I0420B,PLANTILLA 1 UP A SOLO CON PUNTOS P-382,C, 06/02/24, 06/02/24, 06/03/24, 06/03/24,06/03/2024,,,8,-22,4.00,0.00,4.00,-8.00,CJ,987.52,79,Jaime Blasques,"QUERETARO, EMBARCAR 17 FEBRERO, CITA 20 FEBRERO"
*,I0ETI29764-6,RETENIDO,,,,,,,NE0742P,TIENDAS SORIANA,00742I0406B,PANTILLA DOBLABLE DE PUNTOS 2UP RED 032,C, 06/02/24, 06/02/24, 06/03/24, 06/03/24,06/03/2024,,,8,-22,3.00,0.00,3.00,-1.00,CJ,740.64,79,Jaime Blasques,"QUERETARO, EMBARCAR 17 FEBRERO, CITA 20 FEBRERO"
*,I0ETI29764-7,RETENIDO,,,,,,,NE0742P,TIENDAS SORIANA,00742I0421B,PLANTILLA 2 UP DOBLABLE A SOLO P-382,C, 06/02/24, 06/02/24, 06/03/24, 06/03/24,06/03/2024,,,8,-22,3.00,0.00,3.00,-3.00,CJ,740.64,79,Jaime Blasques,"QUERETARO, EMBARCAR 17 FEBRERO, CITA 20 FEBRERO"
*,I0ETI29764-8,RETENIDO,,,,,,,NE0742P,TIENDAS SORIANA,00742I0533A,PLANTILLA 1 UP OFERTA HIPER,C, 06/02/24, 06/02/24, 06/03/24, 06/03/24,06/03/2024,,,8,-22,62.00,0.00,62.00,-504.00,CJ,"15,306.56",79,Jaime Blasques,"QUERETARO, EMBARCAR 17 FEBRERO, CITA 20 FEBRERO"
*,I0ETI29764-9,RETENIDO,,,,,,,NE0742P,TIENDAS SORIANA,00742I0527A,KIT R 12UP OFERTA RIEL HIPER,C, 06/02/24, 06/02/24, 06/03/24, 06/03/24,06/03/2024,,,8,-22,33.00,0.00,33.00,-322.00,CJ,"18,384.30",79,Jaime Blasques,"QUERETARO, EMBARCAR 17 FEBRERO, CITA 20 FEBRERO"
,I0ETI29810-1,PLANEACION,,M0151306-250,18,2332.8,0.25,583.2,NE0969D,EMBOTELLADORA GEYSER,20000B0232,ETIQ. TT 3 X 2 C/P R/1000 C3,C, 07/02/24, 07/02/24, 25/02/24, 24/02/24, 26/02/24,,,7,-12,120.00,0.00,120.00,0.00,MI,"8,352.90",79,Jaime Blasques,
,I0ETI29810-2,PLANEACION,,M0151234-220,78.3,845.64,0.22,186.0408,NE0969D,EMBOTELLADORA GEYSER,00969B0001A,ETIQ. TD 4 X 6 C-1 C/PLECA R-250,C, 07/02/24, 07/02/24, 25/02/24, 24/02/24, 26/02/24,,,7,-12,10.00,0.00,10.00,0.00,MI,"3,068.90",79,Jaime Blasques,
*,I0ETI29771-1,RETENIDO,,,,,,,NE0742P,TIENDAS SORIANA,00742I0461A,KIT ETIQ. R24UP ANAQUEL ADHESIVA MERCADO,C, 06/02/24, 06/02/24, 06/03/24, 12/02/24,06/03/2024,,,8,-22,2.00,0.00,2.00,4.00,CJ,"2,806.74",79,Jaime Blasques,"VILLAHERMOSA, EMBARCAR  13 FEBRERO, CITA 20 DE FEBRERO"
*,I0ETI29771-2,RETENIDO,,,,,,,NE0742P,TIENDAS SORIANA,00742I0422B,PLANTILLA TE REGALA PUNTOS 1UP PURPLE,C, 06/02/24, 06/02/24, 06/03/24, 12/02/24,06/03/2024,,,8,-22,1.00,0.00,1.00,5.00,CJ,235.18,79,Jaime Blasques,"VILLAHERMOSA, EMBARCAR  13 FEBRERO, CITA 20 DE FEBRERO"
*,I0ETI29771-3,RETENIDO,,,,,,,NE0742P,TIENDAS SORIANA,00742I0533A,PLANTILLA 1 UP OFERTA HIPER,C, 06/02/24, 06/02/24, 06/03/24, 12/02/24,06/03/2024,,,8,-22,49.00,0.00,49.00,-504.00,CJ,"12,097.12",79,Jaime Blasques,"VILLAHERMOSA, EMBARCAR  13 FEBRERO, CITA 20 DE FEBRERO"
*,I0ETI29771-4,RETENIDO,,,,,,,NE0742P,TIENDAS SORIANA,00742I0527A,KIT R 12UP OFERTA RIEL HIPER,C, 06/02/24, 06/02/24, 06/03/24, 12/02/24,06/03/2024,,,8,-22,39.00,0.00,39.00,-322.00,CJ,"21,726.90",79,Jaime Blasques,"VILLAHERMOSA, EMBARCAR  13 FEBRERO, CITA 20 DE FEBRERO"
*,I0ETI29771-5,RETENIDO,,,,,,,NE0742P,TIENDAS SORIANA,00742I0531A,PLANTILLA 1 UP PRECIO NORMAL HIPER,C, 06/02/24, 06/02/24, 06/03/24, 12/02/24,06/03/2024,,,8,-22,29.00,0.00,29.00,-214.00,CJ,"7,159.52",79,Jaime Blasques,"VILLAHERMOSA, EMBARCAR  13 FEBRERO, CITA 20 DE FEBRERO"
*,I0ETI29771-6,RETENIDO,,,,,,,NE0742P,TIENDAS SORIANA,00742I0529A,KIT R 12UP RIEL PRECIO NORMAL HIPER,C, 06/02/24, 06/02/24, 06/03/24, 12/02/24,06/03/2024,,,8,-22,12.00,0.00,12.00,-63.00,CJ,"6,685.20",79,Jaime Blasques,"VILLAHERMOSA, EMBARCAR  13 FEBRERO, CITA 20 DE FEBRERO"
*,I0ETI29771-7,RETENIDO,,,,,,,NE0742P,TIENDAS SORIANA,00742I0532A,PLANTILLA 1 UP OFERTA SUPER,C, 06/02/24, 06/02/24, 06/03/24, 12/02/24,06/03/2024,,,8,-22,8.00,0.00,8.00,6.00,CJ,"1,975.04",79,Jaime Blasques,"VILLAHERMOSA, EMBARCAR  13 FEBRERO, CITA 20 DE FEBRERO"
*,I0ETI29772-1,RETENIDO,,,,,,,NE0742P,TIENDAS SORIANA,00742I0461A,KIT ETIQ. R24UP ANAQUEL ADHESIVA MERCADO,C, 06/02/24, 06/02/24, 06/03/24, 06/03/24,06/03/2024,,,8,-22,2.00,0.00,2.00,4.00,CJ,"2,806.74",79,Jaime Blasques,"VILLAHERMOSA, EMBARCAR  13 FEBRERO, CITA 20 DE FEBRERO"
*,I0ETI29772-10,RETENIDO,,,,,,,NE0742P,TIENDAS SORIANA,00742I0528A,KIT R 12UP RIEL PRECIO NORMAL SUPER,C, 06/02/24, 06/02/24, 06/03/24, 06/03/24,06/03/2024,,,8,-22,1.00,0.00,1.00,2.00,CJ,557.10,79,Jaime Blasques,"VILLAHERMOSA, EMBARCAR  13 FEBRERO, CITA 20 DE FEBRERO"
*,I0ETI29772-11,RETENIDO,,,,,,,NE0742P,TIENDAS SORIANA,00742I0537A,KIT 24UP ADHESIVA PRECIO LINEA HIPER-S,C, 06/02/24, 06/02/24, 06/03/24, 06/03/24,06/03/2024,,,8,-22,27.00,0.00,27.00,-148.00,CJ,"37,890.99",79,Jaime Blasques,"VILLAHERMOSA, EMBARCAR  13 FEBRERO, CITA 20 DE FEBRERO"
*,I0ETI29772-12,RETENIDO,,,,,,,NE0742P,TIENDAS SORIANA,00742I0539A,PLANTILLA 1UP REMATES UNICOS,C, 06/02/24, 06/02/24, 06/03/24, 06/03/24,06/03/2024,,,8,-22,1.00,0.00,1.00,-5.00,CJ,246.88,79,Jaime Blasques,"VILLAHERMOSA, EMBARCAR  13 FEBRERO, CITA 20 DE FEBRERO"
*,I0ETI29772-13,RETENIDO,,,,,,,NE0742P,TIENDAS SORIANA,00742I0338A,ETIQ. 1115 NARANJA,C, 06/02/24, 06/02/24, 06/03/24, 06/03/24,06/03/2024,,,8,-22,1.00,0.00,1.00,10.00,CJ,473.20,79,Jaime Blasques,"VILLAHERMOSA, EMBARCAR  13 FEBRERO, CITA 20 DE FEBRERO"
*,I0ETI29772-14,RETENIDO,,,,,,,NE0742P,TIENDAS SORIANA,00742I0589A,KIT R 12UP RIEL MERCADO BCA LISA,C, 06/02/24, 06/02/24, 06/03/24, 06/03/24,06/03/2024,,,8,-22,5.00,0.00,5.00,10.00,CJ,"2,310.00",79,Jaime Blasques,"VILLAHERMOSA, EMBARCAR  13 FEBRERO, CITA 20 DE FEBRERO"
*,I0ETI29772-15,RETENIDO,,,,,,,NE0742P,TIENDAS SORIANA,00742I0588A,KIT R 12UP RIEL LISA AMARILLA,E, 06/02/24, 06/02/24, 06/03/24, 06/03/24,06/03/2024,,,8,-22,9.00,0.00,9.00,-57.00,CJ,"4,230.00",79,Jaime Blasques,"VILLAHERMOSA, EMBARCAR  13 FEBRERO, CITA 20 DE FEBRERO"
*,I0ETI29772-2,RETENIDO,,,,,,,NE0742P,TIENDAS SORIANA,00742I0422B,PLANTILLA TE REGALA PUNTOS 1UP PURPLE,C, 06/02/24, 06/02/24, 06/03/24, 06/03/24,06/03/2024,,,8,-22,1.00,0.00,1.00,5.00,CJ,235.18,79,Jaime Blasques,"VILLAHERMOSA, EMBARCAR  13 FEBRERO, CITA 20 DE FEBRERO"
*,I0ETI29772-3,RETENIDO,,,,,,,NE0742P,TIENDAS SORIANA,00742I0533A,PLANTILLA 1 UP OFERTA HIPER,C, 06/02/24, 06/02/24, 06/03/24, 06/03/24,06/03/2024,,,8,-22,49.00,0.00,49.00,-504.00,CJ,"12,097.12",79,Jaime Blasques,"VILLAHERMOSA, EMBARCAR  13 FEBRERO, CITA 20 DE FEBRERO"
*,I0ETI29772-4,RETENIDO,,,,,,,NE0742P,TIENDAS SORIANA,00742I0527A,KIT R 12UP OFERTA RIEL HIPER,C, 06/02/24, 06/02/24, 06/03/24, 06/03/24,06/03/2024,,,8,-22,39.00,0.00,39.00,-322.00,CJ,"21,726.90",79,Jaime Blasques,"VILLAHERMOSA, EMBARCAR  13 FEBRERO, CITA 20 DE FEBRERO"
*,I0ETI29772-5,RETENIDO,,,,,,,NE0742P,TIENDAS SORIANA,00742I0531A,PLANTILLA 1 UP PRECIO NORMAL HIPER,C, 06/02/24, 06/02/24, 06/03/24, 06/03/24,06/03/2024,,,8,-22,29.00,0.00,29.00,-214.00,CJ,"7,159.52",79,Jaime Blasques,"VILLAHERMOSA, EMBARCAR  13 FEBRERO, CITA 20 DE FEBRERO"
*,I0ETI29772-6,RETENIDO,,,,,,,NE0742P,TIENDAS SORIANA,00742I0529A,KIT R 12UP RIEL PRECIO NORMAL HIPER,C, 06/02/24, 06/02/24, 06/03/24, 06/03/24,06/03/2024,,,8,-22,12.00,0.00,12.00,-63.00,CJ,"6,685.20",79,Jaime Blasques,"VILLAHERMOSA, EMBARCAR  13 FEBRERO, CITA 20 DE FEBRERO"
*,I0ETI29772-7,RETENIDO,,,,,,,NE0742P,TIENDAS SORIANA,00742I0532A,PLANTILLA 1 UP OFERTA SUPER,C, 06/02/24, 06/02/24, 06/03/24, 06/03/24,06/03/2024,,,8,-22,8.00,0.00,8.00,6.00,CJ,"1,975.04",79,Jaime Blasques,"VILLAHERMOSA, EMBARCAR  13 FEBRERO, CITA 20 DE FEBRERO"
*,I0ETI29772-8,RETENIDO,,,,,,,NE0742P,TIENDAS SORIANA,00742I0526A,KIT R 12UP OFERTA RIEL SUPER,C, 06/02/24, 06/02/24, 06/03/24, 06/03/24,06/03/2024,,,8,-22,3.00,0.00,3.00,83.00,CJ,"1,671.30",79,Jaime Blasques,"VILLAHERMOSA, EMBARCAR  13 FEBRERO, CITA 20 DE FEBRERO"
*,I0ETI29772-9,RETENIDO,,,,,,,NE0742P,TIENDAS SORIANA,00742I0530A,PLANTILLA 1UP PRECIO NORMAL SUPER,C, 06/02/24, 06/02/24, 06/03/24, 06/03/24,06/03/2024,,,8,-22,3.00,0.00,3.00,-35.00,CJ,740.64,79,Jaime Blasques,"VILLAHERMOSA, EMBARCAR  13 FEBRERO, CITA 20 DE FEBRERO"
*,I0ETI29773-1,LIB FLXR,OE00049512,,,,,,PA9182D,CUPRUM,09181B0001C,ETIQUETA 4 X 5 BLANCA BOPP R-1000 C-3,B, 06/02/24, 06/02/24, 23/02/24, 23/02/24,23/02/2024,,,8,-9,120.00,0.00,120.00,0.00,MI,"39,357.37",39,Alejandro de Mata,
